round,idno,country,party_de,party_fr,party_hu,party_it,party_pl,age,urban,education(yy),activity,source_inc_h,income,satisfaction_inc,source_inc_p,age_group
9,45889,HU,0,0,3,0,0,67,4,7,66,4,77,7,4,66+
9,45934,HU,0,0,3,0,0,42,3,8,66,1,6,3,5,25-65
9,45939,HU,0,0,3,0,0,55,3,8,66,1,77,2,1,25-65
9,45972,HU,0,0,1,0,0,66,3,13,66,4,7,2,4,66+
9,45973,HU,0,0,3,0,0,69,3,11,66,4,7,3,66,66+
9,46007,HU,0,0,66,0,0,40,4,17,66,1,10,2,1,25-65
9,46063,HU,0,0,3,0,0,53,3,77,66,1,7,2,1,25-65
9,46071,HU,0,0,1,0,0,58,3,18,66,1,3,2,66,25-65
9,46072,HU,0,0,66,0,0,62,4,10,66,4,1,2,66,25-65
9,46102,HU,0,0,66,0,0,24,4,14,66,1,2,2,1,18-24
9,46128,HU,0,0,3,0,0,78,2,8,66,4,8,3,4,66+
9,46135,HU,0,0,3,0,0,64,1,12,66,1,4,2,66,25-65
9,46144,HU,0,0,3,0,0,74,3,10,66,4,1,2,66,66+
9,46202,HU,0,0,66,0,0,57,1,8,66,4,1,3,66,25-65
9,46237,HU,0,0,66,0,0,49,4,12,66,1,77,1,66,25-65
9,46256,HU,0,0,66,0,0,52,1,12,66,1,77,2,1,25-65
9,46264,HU,0,0,3,0,0,28,1,12,66,1,8,2,1,25-65
9,46321,HU,0,0,66,0,0,37,1,12,66,1,77,2,1,25-65
9,46351,HU,0,0,66,0,0,79,3,8,66,4,77,3,66,66+
9,46407,HU,0,0,6,0,0,19,1,12,66,1,88,2,9,18-24
9,46409,HU,0,0,77,0,0,51,4,10,66,1,7,2,1,25-65
9,46453,HU,0,0,4,0,0,50,2,14,66,1,77,2,1,25-65
9,46460,HU,0,0,4,0,0,23,1,11,66,1,2,2,1,18-24
9,46464,HU,0,0,3,0,0,66,3,10,66,4,6,3,4,66+
9,46472,HU,0,0,3,0,0,32,2,11,66,1,8,2,1,25-65
9,46495,HU,0,0,66,0,0,27,3,12,66,1,77,7,1,25-65
9,46502,HU,0,0,1,0,0,80,3,17,66,4,77,2,66,66+
9,46506,HU,0,0,3,0,0,51,4,8,66,1,77,3,1,25-65
9,46514,HU,0,0,3,0,0,44,3,12,66,1,77,2,1,25-65
9,46581,HU,0,0,88,0,0,60,4,30,66,1,77,2,1,25-65
9,46596,HU,0,0,66,0,0,45,1,11,66,1,6,4,1,25-65
9,46635,HU,0,0,6,0,0,33,1,12,66,1,77,2,1,25-65
9,46718,HU,0,0,3,0,0,77,3,8,66,4,77,3,4,66+
9,46727,HU,0,0,3,0,0,38,4,13,66,1,9,2,1,25-65
9,46781,HU,0,0,4,0,0,33,1,12,66,1,77,2,1,25-65
9,46815,HU,0,0,66,0,0,89,3,8,66,4,2,2,66,66+
9,46824,HU,0,0,3,0,0,27,3,12,66,1,77,2,1,25-65
9,46842,HU,0,0,3,0,0,44,3,12,66,1,9,2,1,25-65
9,46853,HU,0,0,66,0,0,56,4,12,66,1,10,2,1,25-65
9,46866,HU,0,0,4,0,0,45,2,18,66,1,5,2,66,25-65
9,46916,HU,0,0,3,0,0,38,2,12,66,1,5,3,6,25-65
9,46964,HU,0,0,66,0,0,67,3,8,66,4,88,3,4,66+
9,46986,HU,0,0,3,0,0,40,4,13,66,1,9,2,1,25-65
9,47011,HU,0,0,66,0,0,55,3,11,66,1,6,2,1,25-65
9,47068,HU,0,0,77,0,0,57,4,14,66,4,7,2,4,25-65
9,47075,HU,0,0,66,0,0,50,3,4,66,1,5,2,1,25-65
9,47091,HU,0,0,77,0,0,41,1,15,66,1,77,2,77,25-65
9,47093,HU,0,0,3,0,0,58,3,10,66,1,2,3,66,25-65
9,47116,HU,0,0,3,0,0,54,4,8,66,1,2,2,66,25-65
9,47157,HU,0,0,66,0,0,27,3,12,66,1,4,3,1,25-65
9,47168,HU,0,0,66,0,0,51,2,18,66,1,5,2,66,25-65
9,47174,HU,0,0,4,0,0,69,3,12,66,1,77,2,66,66+
9,47282,HU,0,0,6,0,0,55,4,12,66,1,6,2,1,25-65
9,47321,HU,0,0,66,0,0,78,3,1,66,1,88,2,4,66+
9,47324,HU,0,0,3,0,0,47,4,15,66,1,77,2,1,25-65
9,47382,HU,0,0,3,0,0,72,4,12,66,4,2,2,66,66+
9,47401,HU,0,0,10,0,0,71,3,22,66,4,8,1,66,66+
9,47420,HU,0,0,7,0,0,43,1,17,66,1,8,1,66,25-65
9,47428,HU,0,0,6,0,0,34,3,12,66,1,5,2,1,25-65
9,47429,HU,0,0,88,0,0,20,4,12,66,1,88,2,9,18-24
9,47436,HU,0,0,66,0,0,43,3,11,66,1,5,3,1,25-65
9,47439,HU,0,0,77,0,0,72,1,12,66,4,3,2,66,66+
9,47480,HU,0,0,7,0,0,52,4,12,66,1,8,2,1,25-65
9,47515,HU,0,0,3,0,0,80,4,11,66,77,77,7,66,66+
9,47519,HU,0,0,7,0,0,68,3,12,66,4,6,2,66,66+
9,47535,HU,0,0,3,0,0,54,4,8,66,6,1,4,6,25-65
9,47578,HU,0,0,77,0,0,60,3,12,66,1,4,2,66,25-65
9,47625,HU,0,0,66,0,0,26,4,12,66,1,77,3,1,25-65
9,47636,HU,0,0,3,0,0,26,1,12,66,1,5,2,1,25-65
9,47648,HU,0,0,66,0,0,71,4,8,66,4,1,4,66,66+
9,47650,HU,0,0,3,0,0,75,1,16,66,4,6,2,4,66+
9,47679,HU,0,0,77,0,0,35,4,12,66,2,77,2,2,25-65
9,47680,HU,0,0,77,0,0,57,4,18,66,1,77,2,1,25-65
9,47700,HU,0,0,66,0,0,34,3,11,66,1,6,3,6,25-65
9,47735,HU,0,0,1,0,0,71,3,11,66,4,3,2,4,66+
9,47737,HU,0,0,77,0,0,61,1,12,66,1,77,2,1,25-65
9,47783,HU,0,0,66,0,0,66,1,12,66,4,2,2,66,66+
9,47880,HU,0,0,4,0,0,63,3,8,66,1,77,2,66,25-65
9,47908,HU,0,0,66,0,0,43,3,13,66,1,3,2,1,25-65
9,47919,HU,0,0,3,0,0,55,4,16,66,1,77,1,1,25-65
9,47922,HU,0,0,66,0,0,39,3,8,66,4,2,4,4,25-65
9,48032,HU,0,0,6,0,0,30,4,16,66,1,3,3,1,25-65
9,48042,HU,0,0,77,0,0,60,3,12,66,4,1,4,4,25-65
9,48086,HU,0,0,77,0,0,28,4,12,66,1,88,2,1,25-65
9,48118,HU,0,0,77,0,0,43,1,21,66,1,77,2,1,25-65
9,48148,HU,0,0,3,0,0,82,3,8,66,4,3,3,4,66+
9,48172,HU,0,0,3,0,0,57,1,3,66,1,2,1,1,25-65
9,48189,HU,0,0,7,0,0,65,4,8,66,4,1,2,4,25-65
9,48359,HU,0,0,3,0,0,36,1,12,66,1,77,2,1,25-65
9,48364,HU,0,0,3,0,0,23,1,12,66,1,9,2,1,18-24
9,48431,HU,0,0,3,0,0,68,4,11,66,4,4,1,4,66+
9,48433,HU,0,0,66,0,0,72,4,12,66,4,77,4,66,66+
9,48466,HU,0,0,66,0,0,28,4,17,66,1,7,3,1,25-65
9,48484,HU,0,0,77,0,0,30,4,30,66,1,77,2,6,25-65
9,48500,HU,0,0,4,0,0,79,2,10,66,4,2,3,66,66+
9,48546,HU,0,0,3,0,0,73,1,8,66,88,3,8,88,66+
9,48622,HU,0,0,7,0,0,53,3,13,66,1,8,3,1,25-65
9,5,IT,0,0,0,7,0,67,3,18,66,1,4,1,66,66+
9,11,IT,0,0,0,8,0,45,4,11,66,4,3,4,9,25-65
9,15,IT,0,0,0,14,0,73,4,8,66,4,1,3,66,66+
9,41,IT,0,0,0,66,0,21,3,8,66,1,77,2,1,18-24
9,46,IT,0,0,0,66,0,86,3,3,66,4,77,4,66,66+
9,80,IT,0,0,0,77,0,53,1,17,66,2,77,1,2,25-65
9,89,IT,0,0,0,77,0,77,3,18,66,4,4,2,4,66+
9,109,IT,0,0,0,77,0,35,2,18,66,1,10,1,2,25-65
