idno,cntry,prtvede1,prtvede2,prtvtdfr,prtvtfhu,prtvtcit,prtvtdpl,lrscale,ipcrtiv,imprich,ipeqopt,ipshabt,impsafe,impdiff,ipfrule,ipudrst,ipmodst,ipgdtim,impfree,iphlppl,ipsuces,ipstrgv,ipadvnt,ipbhprp,iprspot,iplylfr,impenv,imptrad,impfun,
38457,AT,,,,,,,2,2,4,4,4,4,3,2,2,3,3,3,5,3,4,3,3,5,2,5,3,3,
38465,AT,,,,,,,6,2,4,2,2,1,1,2,1,2,2,1,3,3,3,5,3,3,3,2,2,3,
38499,AT,,,,,,,3,2,3,2,3,2,1,3,1,4,2,2,3,2,3,2,4,3,1,2,3,1,
38501,AT,,,,,,,5,3,4,2,1,2,4,3,2,4,2,2,2,2,2,4,2,1,1,1,1,2,
38506,AT,,,,,,,3,2,4,1,1,1,2,3,2,2,2,1,1,2,1,4,2,1,2,1,2,2,
38530,AT,,,,,,,5,1,4,2,2,1,4,5,3,3,2,2,1,3,3,2,2,3,1,2,2,3,
38545,AT,,,,,,,5,4,5,2,2,2,4,3,2,3,3,2,2,4,2,5,2,2,1,1,1,3,
38568,AT,,,,,,,5,1,4,1,5,1,4,2,1,1,2,1,1,3,2,2,2,2,1,1,6,1,
38584,AT,,,,,,,4,2,6,3,4,1,5,2,3,1,5,1,2,4,1,6,2,1,1,1,2,3,
38625,AT,,,,,,,5,1,6,1,2,1,1,5,1,4,4,2,1,1,1,3,1,3,1,1,1,1,
38641,AT,,,,,,,5,1,3,2,2,3,3,3,3,3,3,2,2,2,1,3,3,2,2,2,2,3,
38652,AT,,,,,,,3,2,1,3,2,2,1,3,1,2,1,1,3,1,1,1,4,3,1,1,3,1,
38681,AT,,,,,,,4,2,5,2,2,1,2,3,1,1,2,1,1,1,1,4,2,1,1,1,1,2,
38714,AT,,,,,,,5,1,3,2,2,1,2,3,1,2,2,1,1,2,2,3,1,1,1,1,1,2,
38735,AT,,,,,,,3,4,3,2,2,1,4,2,2,2,2,2,3,2,2,3,2,2,1,2,4,1,
38807,AT,,,,,,,88,2,1,2,1,1,1,3,2,4,1,1,2,1,1,2,2,2,1,1,4,1,
