essround,idno,cntry,nwspol,prtvede1,prtvtdfr,prtvtfhu,prtvtcit,prtvtdpl,stfeco,stfedu,stfhlth,
9,6096,AT,30,,,,,,7,7,7,
9,6140,AT,15,,,,,,10,6,9,
9,6187,AT,60,,,,,,8,7,8,
9,6208,AT,40,,,,,,3,6,6,
9,6267,AT,90,,,,,,9,7,7,
9,6277,AT,10,,,,,,10,7,8,
9,6382,AT,15,,,,,,7,8,8,
9,6490,AT,30,,,,,,8,7,8,
9,6500,AT,60,,,,,,8,6,8,
9,6514,AT,0,,,,,,9,8,9,
9,6519,AT,30,,,,,,6,9,7,
9,6557,AT,120,,,,,,9,4,8,
9,6563,AT,60,,,,,,7,8,7,
9,6612,AT,15,,,,,,10,7,9,
9,6627,AT,60,,,,,,4,88,4,
9,6669,AT,60,,,,,,8,8,8,
9,6672,AT,15,,,,,,9,3,5,
9,6682,AT,10,,,,,,6,9,9,
9,6706,AT,60,,,,,,5,8,9,
9,6715,AT,30,,,,,,4,3,2,
9,6719,AT,10,,,,,,9,4,8,
9,6720,AT,120,,,,,,10,3,8,
9,6731,AT,45,,,,,,8,88,8,
9,6792,AT,30,,,,,,8,3,4,
9,6795,AT,90,,,,,,9,7,9,
9,6807,AT,10,,,,,,6,7,8,
9,6813,AT,10,,,,,,7,8,9,
9,6828,AT,90,,,,,,6,88,4,
9,6834,AT,60,,,,,,7,5,7,
9,6848,AT,60,,,,,,7,6,7,
9,6854,AT,10,,,,,,9,6,8,
9,6867,AT,120,,,,,,8,5,7,
9,6915,AT,10,,,,,,1,2,6,
9,6930,AT,15,,,,,,5,88,1,
9,6951,AT,120,,,,,,10,5,9,
9,6988,AT,75,,,,,,7,5,6,
9,6999,AT,30,,,,,,10,8,10,
9,7003,AT,60,,,,,,5,88,5,
9,7010,AT,60,,,,,,7,2,3,
9,7013,AT,25,,,,,,7,7,10,
9,7027,AT,15,,,,,,6,5,6,
9,7063,AT,120,,,,,,7,7,6,
9,7131,AT,30,,,,,,8,5,5,
9,7192,AT,45,,,,,,8,7,7,
9,7198,AT,10,,,,,,5,6,6,
9,7217,AT,60,,,,,,9,7,7,
9,7257,AT,15,,,,,,5,3,7,
9,7261,AT,60,,,,,,7,4,8,
9,7264,AT,120,,,,,,8,6,7,
9,7270,AT,60,,,,,,9,9,9,
9,7280,AT,45,,,,,,8,9,9,
9,7286,AT,90,,,,,,7,8,9,
9,7306,AT,60,,,,,,9,9,9,
9,7317,AT,15,,,,,,3,10,10,
9,7334,AT,30,,,,,,7,8,8,
9,7354,AT,0,,,,,,6,7,6,
9,7363,AT,0,,,,,,3,0,9,
9,7387,AT,30,,,,,,7,9,9,
9,7406,AT,20,,,,,,8,5,8,
9,7414,AT,0,,,,,,8,6,10,
9,7441,AT,20,,,,,,7,8,8,
9,7487,AT,15,,,,,,6,5,6,
9,7496,AT,30,,,,,,7,2,4,
9,7502,AT,75,,,,,,6,7,7,
9,7519,AT,30,,,,,,2,4,2,
9,7588,AT,45,,,,,,0,0,0,
9,7608,AT,45,,,,,,7,7,9,
9,7628,AT,45,,,,,,9,5,8,
9,7637,AT,60,,,,,,8,7,6,
9,7648,AT,120,,,,,,4,5,6,
9,7662,AT,5,,,,,,6,9,9,
9,7675,AT,60,,,,,,7,6,3,
9,7689,AT,15,,,,,,9,8,8,
9,7702,AT,60,,,,,,8,9,9,
9,7711,AT,10,,,,,,7,7,8,
9,7718,AT,15,,,,,,7,9,8,
9,7742,AT,45,,,,,,7,8,8,
9,7752,AT,90,,,,,,6,5,7,
9,7768,AT,30,,,,,,7,4,8,
9,7773,AT,30,,,,,,8,9,9,
9,7774,AT,120,,,,,,5,2,4,
9,7780,AT,30,,,,,,9,9,9,
9,7806,AT,60,,,,,,8,8,5,
9,7815,AT,30,,,,,,3,88,4,
9,7822,AT,120,,,,,,5,8,9,
9,7855,AT,30,,,,,,6,8,7,
9,7971,AT,30,,,,,,8,88,10,
9,7976,AT,60,,,,,,7,9,9,
9,7987,AT,90,,,,,,6,3,3,
9,7988,AT,20,,,,,,6,8,7,
9,7999,AT,60,,,,,,6,1,8,
9,8005,AT,15,,,,,,9,8,7,
9,8020,AT,120,,,,,,7,4,6,
9,8022,AT,15,,,,,,6,8,8,
9,8029,AT,60,,,,,,8,8,9,
9,8033,AT,20,,,,,,8,5,3,
9,8073,AT,60,,,,,,8,8,8,
9,8082,AT,5,,,,,,3,3,5,
9,8086,AT,30,,,,,,5,7,10,
9,8103,AT,20,,,,,,6,8,7,
9,8128,AT,20,,,,,,6,8,7,
9,8152,AT,60,,,,,,9,9,10,
9,8197,AT,45,,,,,,7,5,6,
9,8210,AT,60,,,,,,5,5,3,
9,8215,AT,45,,,,,,88,7,8,
9,8225,AT,30,,,,,,8,9,10,
9,8226,AT,30,,,,,,2,6,7,
9,8289,AT,90,,,,,,9,10,10,
9,8315,AT,30,,,,,,3,5,7,
9,8317,AT,45,,,,,,7,8,8,
