cntry,cname,cedition,cproddat,cseqno,name,essround,edition,idno,dweight,pspwght,pweight,lrscale,prtvtcfr,ipcrtiv,imprich,ipeqopt,ipshabt,impsafe,impdiff,ipfrule,ipudrst,ipmodst,ipgdtim,impfree,iphlppl,ipsuces,ipstrgv,ipadvnt,ipbhprp,iprspot,iplylfr,impenv,imptrad,impfun
FR,ESS1-8e01,1.0,12.12.2018,155352,ESS6e02_4,6,2.4,230,1.62140103528068,1.905885851253,2.702677846,7,10,2,5,1,3,2,5,2,2,2,5,2,2,5,2,5,2,2,2,2,3,5
FR,ESS1-8e01,1.0,12.12.2018,155353,ESS6e02_4,6,2.4,231,2.43210148043875,2.85111381918656,2.702677846,6,2,3,5,1,3,1,2,5,1,2,3,2,1,5,2,4,2,4,1,3,5,3
FR,ESS1-8e01,1.0,12.12.2018,155354,ESS6e02_4,6,2.4,232,2.43210148043875,1.43562031836881,2.702677846,5,15,2,5,3,5,3,4,5,3,3,4,4,3,4,3,4,4,4,3,3,4,3
FR,ESS1-8e01,1.0,12.12.2018,155355,ESS6e02_4,6,2.4,233,1.62140103528068,1.23688487585929,2.702677846,3,9,4,5,2,4,2,5,4,2,2,2,4,2,4,2,5,2,2,2,5,5,3
FR,ESS1-8e01,1.0,12.12.2018,155356,ESS6e02_4,6,2.4,236,1.62140103528068,1.905885851253,2.702677846,8,10,2,5,1,5,1,2,8,1,1,2,2,2,5,2,5,2,5,1,2,2,2
FR,ESS1-8e01,1.0,12.12.2018,155357,ESS6e02_4,6,2.4,238,0.810700517640341,0.9529429256265,2.702677846,8,2,2,5,2,3,2,3,3,2,3,3,2,2,3,2,4,2,3,2,2,3,3
FR,ESS1-8e01,1.0,12.12.2018,155358,ESS6e02_4,6,2.4,245,2.43210148043875,1.65306484534752,2.702677846,8,66,1,6,1,2,2,2,6,1,2,1,1,2,5,1,1,6,2,1,1,6,1
FR,ESS1-8e01,1.0,12.12.2018,155359,ESS6e02_4,6,2.4,246,2.43210148043875,2.85882869167977,2.702677846,10,77,2,5,2,4,6,4,5,2,2,4,2,5,4,1,5,2,5,2,2,4,5
FR,ESS1-8e01,1.0,12.12.2018,155360,ESS6e02_4,6,2.4,249,1.62140103528068,1.85768874151487,2.702677846,6,2,2,5,1,4,4,4,5,4,4,3,2,4,4,2,5,2,8,3,4,4,5
FR,ESS1-8e01,1.0,12.12.2018,155361,ESS6e02_4,6,2.4,251,0.464879036219919,0.497081213812864,2.702677846,7,10,3,5,1,5,1,3,2,3,3,3,1,1,5,1,5,1,3,1,1,1,5
FR,ESS1-8e01,1.0,12.12.2018,155362,ESS6e02_4,6,2.4,256,0.929758072439839,0.645193136865672,2.702677846,5,2,3,5,1,4,2,2,2,2,2,1,2,1,3,2,3,2,2,1,3,5,3
