essround,idno,cntry,prtvede1,prtvtdfr,prtvtfhu,prtvtcit,prtvtdpl,agea,domicil,eduyrs,mainact,hincsrca,hinctnta,hincfel,iincsrc,
9,8226,AT,,,,,,25,1,15,66,1,3,2,66,
9,8289,AT,,,,,,65,1,12,66,4,2,1,66,
9,8315,AT,,,,,,51,1,17,66,1,3,3,1,
9,8317,AT,,,,,,57,4,12,66,1,2,1,66,
9,8321,AT,,,,,,26,3,19,66,1,3,2,1,
9,8345,AT,,,,,,52,1,23,66,1,3,2,66,
9,8350,AT,,,,,,64,3,11,66,4,88,1,4,
9,8396,AT,,,,,,15,1,8,66,1,88,1,9,
9,8414,AT,,,,,,30,4,12,66,1,6,3,1,
9,8416,AT,,,,,,54,3,13,66,1,77,1,1,
9,8422,AT,,,,,,29,1,13,66,5,1,3,66,
9,8432,AT,,,,,,33,2,11,66,1,4,3,1,
9,8493,AT,,,,,,55,1,15,66,1,5,2,2,
9,8496,AT,,,,,,52,4,13,66,1,7,1,1,
9,8497,AT,,,,,,67,3,13,66,4,6,1,4,
9,8513,AT,,,,,,61,4,14,66,4,3,2,4,
9,8572,AT,,,,,,79,4,8,66,4,2,1,9,
9,8597,AT,,,,,,52,4,12,66,1,8,1,1,
9,8599,AT,,,,,,63,4,12,1,1,77,2,66,
9,8627,AT,,,,,,66,4,12,66,4,5,3,4,
9,8641,AT,,,,,,81,4,12,66,4,2,1,66,
9,8643,AT,,,,,,25,3,13,66,1,6,2,1,
9,8690,AT,,,,,,82,4,8,66,4,4,1,4,
9,8697,AT,,,,,,29,4,12,1,1,7,2,1,
9,8717,AT,,,,,,48,4,19,66,1,10,2,1,
9,8745,AT,,,,,,59,1,12,66,1,8,1,1,
9,8791,AT,,,,,,22,1,12,66,1,2,2,66,
9,8792,AT,,,,,,15,4,9,66,8,88,1,1,
9,8816,AT,,,,,,25,3,12,66,1,3,1,66,
9,8828,AT,,,,,,63,4,9,66,4,77,2,66,
9,8846,AT,,,,,,38,5,14,1,1,5,2,1,
9,8881,AT,,,,,,67,3,17,66,4,4,1,4,
9,8933,AT,,,,,,72,3,14,6,4,5,2,66,
9,8937,AT,,,,,,23,4,16,66,6,3,3,66,
9,8951,AT,,,,,,69,1,21,66,4,5,1,66,
