cntry,cname,cedition,cproddat,cseqno,name,essround,edition,idno,dweight,pspwght,pweight,lrscale,prtvtehu,ipcrtiv,imprich,ipeqopt,ipshabt,impsafe,impdiff,ipfrule,ipudrst,ipmodst,ipgdtim,impfree,iphlppl,ipsuces,ipstrgv,ipadvnt,ipbhprp,iprspot,iplylfr,impenv,imptrad,impfun
HU,ESS1-8e01,1.0,12.12.2018,201633,ESS7e02_2,7,2.2,1161,1,1.70116843594863,0.497735512,77,66,3,5,1,3,3,5,5,3,3,1,1,3,3,3,5,5,5,2,3,3,3
HU,ESS1-8e01,1.0,12.12.2018,201634,ESS7e02_2,7,2.2,1163,1,0.698450877150084,0.497735512,5,1,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
HU,ESS1-8e01,1.0,12.12.2018,201635,ESS7e02_2,7,2.2,1166,1,1.09728402851575,0.497735512,5,2,2,2,1,1,1,5,3,3,2,1,1,3,3,1,4,1,1,1,1,2,3
HU,ESS1-8e01,1.0,12.12.2018,201636,ESS7e02_2,7,2.2,1167,1,1.09958314426322,0.497735512,88,66,2,3,3,3,2,4,3,1,1,2,2,2,5,3,5,3,2,1,1,2,2
HU,ESS1-8e01,1.0,12.12.2018,201637,ESS7e02_2,7,2.2,1169,1,0.862282969965857,0.497735512,5,77,3,5,1,5,2,3,6,3,3,3,2,2,5,1,5,5,5,3,2,5,3
HU,ESS1-8e01,1.0,12.12.2018,201638,ESS7e02_2,7,2.2,1170,1,1.09280320558469,0.497735512,3,66,4,4,2,3,3,3,3,3,4,2,2,3,3,3,3,4,3,2,3,3,3
HU,ESS1-8e01,1.0,12.12.2018,201639,ESS7e02_2,7,2.2,1171,1,0.703339392286413,0.497735512,6,2,4,3,4,4,2,3,2,3,4,2,3,2,3,3,4,3,2,2,3,2,2
HU,ESS1-8e01,1.0,12.12.2018,201640,ESS7e02_2,7,2.2,1174,1,1.09051826599467,0.497735512,2,1,5,5,2,4,1,3,5,2,3,1,1,2,3,2,5,3,3,2,2,2,2
HU,ESS1-8e01,1.0,12.12.2018,201641,ESS7e02_2,7,2.2,1177,1,0.924421636973451,0.497735512,5,77,1,3,1,1,1,2,3,2,2,2,2,1,2,2,3,1,2,2,2,2,2
HU,ESS1-8e01,1.0,12.12.2018,201642,ESS7e02_2,7,2.2,1178,1,1.09280320558469,0.497735512,0,4,1,1,1,1,1,1,3,2,2,2,1,2,2,1,3,1,3,1,1,1,1
HU,ESS1-8e01,1.0,12.12.2018,201643,ESS7e02_2,7,2.2,1179,1,1.69067917214192,0.497735512,5,66,3,3,1,1,1,2,1,2,1,1,1,1,3,1,5,1,3,1,1,1,1
HU,ESS1-8e01,1.0,12.12.2018,201644,ESS7e02_2,7,2.2,1180,1,1.09051826599467,0.497735512,88,66,3,4,1,4,1,5,1,2,1,2,1,2,3,1,6,1,3,1,1,1,3
HU,ESS1-8e01,1.0,12.12.2018,201645,ESS7e02_2,7,2.2,1182,1,0.862282969965857,0.497735512,5,66,2,2,1,1,1,2,2,1,1,2,1,1,2,1,4,1,3,1,1,1,2
HU,ESS1-8e01,1.0,12.12.2018,201646,ESS7e02_2,7,2.2,1183,1,0.862282969965857,0.497735512,88,66,2,1,1,3,1,2,3,1,1,1,1,1,2,1,3,1,2,1,1,2,1
HU,ESS1-8e01,1.0,12.12.2018,201647,ESS7e02_2,7,2.2,1186,1,0.694144286837428,0.497735512,4,66,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
HU,ESS1-8e01,1.0,12.12.2018,201648,ESS7e02_2,7,2.2,1187,1,1.09280320558469,0.497735512,5,66,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
HU,ESS1-8e01,1.0,12.12.2018,201649,ESS7e02_2,7,2.2,1190,1,1.09051826599467,0.497735512,77,77,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
HU,ESS1-8e01,1.0,12.12.2018,201650,ESS7e02_2,7,2.2,1191,1,1.69067917214192,0.497735512,77,77,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
HU,ESS1-8e01,1.0,12.12.2018,201651,ESS7e02_2,7,2.2,1192,1,0.862282969965857,0.497735512,0,4,2,6,1,5,3,5,4,2,2,5,2,1,5,5,5,2,5,2,2,3,5
HU,ESS1-8e01,1.0,12.12.2018,201652,ESS7e02_2,7,2.2,1193,1,1.09280320558469,0.497735512,6,66,1,1,2,1,1,1,3,2,2,1,1,2,1,1,3,2,2,1,1,1,1
HU,ESS1-8e01,1.0,12.12.2018,201653,ESS7e02_2,7,2.2,1194,1,1.1803732034197,0.497735512,4,77,2,4,1,2,1,2,5,2,4,2,2,2,2,1,3,1,3,3,1,1,1
